field_code	rule_type	deduct_score	description
--------------------------------------------------------------------------------
C08x40C	value_check	1.00	出院其他诊断入院病情40 字符 必须在RC027字典范围内
C08x12C	value_check	1.00	出院其他诊断入院病情12 字符 必须在RC027字典范围内
C43x32C	value_check	1.00	其他手术操作麻醉方式32必须在RC013字典范围内
C43x18C	value_check	1.00	其他手术操作麻醉方式18必须在RC013字典范围内
C21x01C	value_check	1.00	主要手术操作切口愈合等级 字符 必须在RC014字典范围内
C08x18C	value_check	1.00	出院其他诊断入院病情18 字符 必须在RC027字典范围内
C08x27C	value_check	1.00	出院其他诊断入院病情27 字符 必须在RC027字典范围内
C08x19C	value_check	1.00	出院其他诊断入院病情19 字符 必须在RC027字典范围内
C08x23C	value_check	1.00	出院其他诊断入院病情23 字符 必须在RC027字典范围内
C43x19C	value_check	1.00	其他手术操作麻醉方式19必须在RC013字典范围内
C08x07C	value_check	1.00	出院其他诊断入院病情7 字符 必须在RC027字典范围内
C08x14C	value_check	1.00	出院其他诊断入院病情14 字符 必须在RC027字典范围内
C43x28C	value_check	1.00	其他手术操作麻醉方式28必须在RC013字典范围内
C14x01C	value_check	1.00	主要手术操作编码 字符 必须在RC027字典范围内
C08x05C	value_check	1.00	出院其他诊断入院病情5 字符 必须在RC027字典范围内
C43x40C	value_check	1.00	其他手术操作麻醉方式40必须在RC013字典范围内
C43x14C	value_check	1.00	其他手术操作麻醉方式14必须在RC013字典范围内
A12C	value_check	1.00	ABO血型必须在RC030字典范围内
C43x17C	value_check	1.00	其他手术操作麻醉方式17必须在RC013字典范围内
C43x21C	value_check	1.00	其他手术操作麻醉方式21必须在RC013字典范围内
C08x21C	value_check	1.00	出院其他诊断入院病情21 字符 必须在RC027字典范围内
C43x09C	value_check	1.00	其他手术操作麻醉方式9必须在RC013字典范围内
C43x31C	value_check	1.00	其他手术操作麻醉方式31必须在RC013字典范围内
C43x12C	value_check	1.00	其他手术操作麻醉方式12必须在RC013字典范围内
A21C	value_check	1.00	婚姻状况必须在RC002字典范围内
C43x06C	value_check	1.00	其他手术操作麻醉方式6必须在RC013字典范围内
C43x16C	value_check	1.00	其他手术操作麻醉方式16必须在RC013字典范围内
C08x09C	value_check	1.00	出院其他诊断入院病情9 字符 必须在RC027字典范围内
C08x22C	value_check	1.00	出院其他诊断入院病情22 字符 必须在RC027字典范围内
C43x33C	value_check	1.00	其他手术操作麻醉方式33必须在RC013字典范围内
C43x37C	value_check	1.00	其他手术操作麻醉方式37必须在RC013字典范围内
A12C	value_check	1.00	病案质量必须在RC011字典范围内
A12C	value_check	1.00	死亡患者尸检必须在RC016字典范围内
A46C	value_check	1.00	医疗付费方式必须在RC032字典范围内
C43x39C	value_check	1.00	其他手术操作麻醉方式39必须在RC013字典范围内
C08x16C	value_check	1.00	出院其他诊断入院病情16 字符 必须在RC027字典范围内
C08x38C	value_check	1.00	出院其他诊断入院病情38 字符 必须在RC027字典范围内
