Line	Field Code	Rule Type	Description
--------------------------------------------------------------------------------
58	B20	value_check	实际住院（天）大于0的整数
99	C06x01C	cross_check	出院其他诊断编码1为空，但出院其他诊断名称1不为空，两者必须同时有值或同时为空
103	C06x02C	cross_check	出院其他诊断编码2为空，但出院其他诊断名称2不为空，两者必须同时有值或同时为空
107	C06x03C	cross_check	出院其他诊断编码3为空，但出院其他诊断名称3不为空，两者必须同时有值或同时为空
111	C06x04C	cross_check	出院其他诊断编码4为空，但出院其他诊断名称4不为空，两者必须同时有值或同时为空
115	C06x05C	cross_check	出院其他诊断编码5为空，但出院其他诊断名称5不为空，两者必须同时有值或同时为空
119	C06x06C	cross_check	出院其他诊断编码6为空，但出院其他诊断名称6不为空，两者必须同时有值或同时为空
123	C06x07C	cross_check	出院其他诊断编码7为空，但出院其他诊断名称7不为空，两者必须同时有值或同时为空
127	C06x08C	cross_check	出院其他诊断编码8为空，但出院其他诊断名称8不为空，两者必须同时有值或同时为空
131	C06x09C	cross_check	出院其他诊断编码9为空，但出院其他诊断名称9不为空，两者必须同时有值或同时为空
135	C06x10C	cross_check	出院其他诊断编码10为空，但出院其他诊断名称10不为空，两者必须同时有值或同时为空
139	C06x11C	cross_check	出院其他诊断编码11为空，但出院其他诊断名称11不为空，两者必须同时有值或同时为空
143	C06x12C	cross_check	出院其他诊断编码12为空，但出院其他诊断名称12不为空，两者必须同时有值或同时为空
147	C06x13C	cross_check	出院其他诊断编码13为空，但出院其他诊断名称13不为空，两者必须同时有值或同时为空
151	C06x14C	cross_check	出院其他诊断编码14为空，但出院其他诊断名称14不为空，两者必须同时有值或同时为空
155	C06x15C	cross_check	出院其他诊断编码15为空，但出院其他诊断名称15不为空，两者必须同时有值或同时为空
159	C06x16C	cross_check	出院其他诊断编码16为空，但出院其他诊断名称16不为空，两者必须同时有值或同时为空
163	C06x17C	cross_check	出院其他诊断编码17为空，但出院其他诊断名称17不为空，两者必须同时有值或同时为空
167	C06x18C	cross_check	出院其他诊断编码18为空，但出院其他诊断名称18不为空，两者必须同时有值或同时为空
171	C06x19C	cross_check	出院其他诊断编码19为空，但出院其他诊断名称19不为空，两者必须同时有值或同时为空
175	C06x20C	cross_check	出院其他诊断编码20为空，但出院其他诊断名称20不为空，两者必须同时有值或同时为空
179	C06x21C	cross_check	出院其他诊断编码21为空，但出院其他诊断名称21不为空，两者必须同时有值或同时为空
183	C06x22C	cross_check	出院其他诊断编码22为空，但出院其他诊断名称22不为空，两者必须同时有值或同时为空
187	C06x23C	cross_check	出院其他诊断编码23为空，但出院其他诊断名称23不为空，两者必须同时有值或同时为空
191	C06x24C	cross_check	出院其他诊断编码24为空，但出院其他诊断名称24不为空，两者必须同时有值或同时为空
195	C06x25C	cross_check	出院其他诊断编码25为空，但出院其他诊断名称25不为空，两者必须同时有值或同时为空
199	C06x26C	cross_check	出院其他诊断编码26为空，但出院其他诊断名称26不为空，两者必须同时有值或同时为空
203	C06x27C	cross_check	出院其他诊断编码27为空，但出院其他诊断名称27不为空，两者必须同时有值或同时为空
207	C06x28C	cross_check	出院其他诊断编码28为空，但出院其他诊断名称28不为空，两者必须同时有值或同时为空
211	C06x29C	cross_check	出院其他诊断编码29为空，但出院其他诊断名称29不为空，两者必须同时有值或同时为空
215	C06x30C	cross_check	出院其他诊断编码30为空，但出院其他诊断名称30不为空，两者必须同时有值或同时为空
219	C06x31C	cross_check	出院其他诊断编码31为空，但出院其他诊断名称31不为空，两者必须同时有值或同时为空
223	C06x32C	cross_check	出院其他诊断编码32为空，但出院其他诊断名称32不为空，两者必须同时有值或同时为空
227	C06x33C	cross_check	出院其他诊断编码33为空，但出院其他诊断名称33不为空，两者必须同时有值或同时为空
231	C06x34C	cross_check	出院其他诊断编码34为空，但出院其他诊断名称34不为空，两者必须同时有值或同时为空
235	C06x35C	cross_check	出院其他诊断编码35为空，但出院其他诊断名称35不为空，两者必须同时有值或同时为空
239	C06x36C	cross_check	出院其他诊断编码36为空，但出院其他诊断名称36不为空，两者必须同时有值或同时为空
243	C06x37C	cross_check	出院其他诊断编码37为空，但出院其他诊断名称37不为空，两者必须同时有值或同时为空
247	C06x38C	cross_check	出院其他诊断编码38为空，但出院其他诊断名称38不为空，两者必须同时有值或同时为空
251	C06x39C	cross_check	出院其他诊断编码39为空，但出院其他诊断名称39不为空，两者必须同时有值或同时为空
255	C06x40C	cross_check	出院其他诊断编码40为空，但出院其他诊断名称40不为空，两者必须同时有值或同时为空
259	C14x01C	cross_check	主要手术操作编码为空，但主要手术操作名称不为空，两者必须同时有值或同时为空
263	C03C	cross_check	出院主要诊断编码不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
264	C03C	cross_check	出院主要诊断编码不符合逻辑判断，女性不允许编码“B26.0，C60-C63，D07.4-D07.6，D17.6，D29，D29.1，D40，E29，E89.5，F52.4，I86.1，K40.907，L29.1，N40-N51，Q53-Q55，R86，S31.2-S31.3，Z12.5”
265	C03C	cross_check	出院主要诊断编码不符合逻辑判断，12岁以下儿童一般不应编码“C50-C63，D24-D29”
266	C03C	cross_check	出院主要诊断编码不符合逻辑判断，10岁以下儿童不允许编“O00-O99”
267	C03C	cross_check	出院主要诊断编码不符合逻辑判断，5岁以上儿童一般不应编“P00-P96”
268	C03C	cross_check	出院主要诊断编码不符合逻辑判断，主要诊断如是T81编码，损伤中毒需填报“Y60-Y84”医疗并发症
269	C03C	cross_check	出院主要诊断编码不符合逻辑判断，出现分娩方式编码“O80”，必须有分娩结局编码“Z37”
270	C03C	cross_check	出院主要诊断编码不符合逻辑判断，手术编码出现“72”，诊断编码必须有分娩结局编码“Z37”
271	C03C	cross_check	出院主要诊断编码不符合逻辑判断，1岁及以上不应编“A33”
272	C03C	cross_check	出院主要诊断编码不符合逻辑判断，17岁及以上不应编“E30.1，E30.8，F64.2，F84.3，G93.7，L12.2，L21.1，L44.4，L70.4，N92.2，R62.0，Z00.2-Z00.3”
273	C03C	cross_check	出院主要诊断编码不符合逻辑判断，12岁以下或55岁以上不应编“A34，C58，D39.2，F53.0，F53.1，M83.0，O01.0-O01.1，O01.9，O02.0-O02.1，O02.9，O03.0-O03.2，O03.4-O03.7，O03.9，O04.5-O04.7，O07.0-O07.2，O07.4，O08.0-O08.7，O08.9”
276	C14x01C	cross_check	主要手术操作编码不符合逻辑判断，“87.9”不适合女性
277	C14x01C	cross_check	主要手术操作编码不符合逻辑判断，“87.8”不适合男性
321	C09C		病理诊断编码不符合疾病分类代码国家临床版2.0版肿瘤形态学编码(M码)
327	C35x01C	cross_check	其他手术操作编码1为空，但其他手术名称1不为空，两者必须同时有值或同时为空
331	C37x01	cross_check	其他手术1操作日期为空，但其他手术编码1不为空或其他手术操作名称1不为空
332	C37x01	date_check	其他手术1操作日期须符合yyyy-MM-dd HH:mm:ss格式
333	C35x02C	cross_check	其他手术操作编码2为空，但其他手术名称2不为空，两者必须同时有值或同时为空
337	C37x02	cross_check	其他手术2操作日期为空，但其他手术编码2不为空或其他手术操作名称2不为空
338	C37x02	date_check	其他手术2操作日期须符合yyyy-MM-dd HH:mm:ss格式
339	C35x03C	cross_check	其他手术操作编码3为空，但其他手术名称3不为空，两者必须同时有值或同时为空
343	C37x03	cross_check	其他手术3操作日期为空，但其他手术编码3不为空或其他手术操作名称3不为空
344	C37x03	date_check	其他手术3操作日期须符合yyyy-MM-dd HH:mm:ss格式
345	C35x04C	cross_check	其他手术操作编码4为空，但其他手术名称4不为空，两者必须同时有值或同时为空
349	C37x04	cross_check	其他手术4操作日期为空，但其他手术编码4不为空或其他手术操作名称4不为空
350	C37x04	date_check	其他手术4操作日期须符合yyyy-MM-dd HH:mm:ss格式
351	C35x05C	cross_check	其他手术操作编码5为空，但其他手术名称5不为空，两者必须同时有值或同时为空
355	C37x05	cross_check	其他手术5操作日期为空，但其他手术编码5不为空或其他手术操作名称5不为空
356	C37x05	date_check	其他手术5操作日期须符合yyyy-MM-dd HH:mm:ss格式
357	C35x06C	cross_check	其他手术操作编码6为空，但其他手术名称6不为空，两者必须同时有值或同时为空
361	C37x06	cross_check	其他手术6操作日期为空，但其他手术编码6不为空或其他手术操作名称6不为空
362	C37x06	date_check	其他手术6操作日期须符合yyyy-MM-dd HH:mm:ss格式
363	C35x07C	cross_check	其他手术操作编码7为空，但其他手术名称7不为空，两者必须同时有值或同时为空
367	C37x07	cross_check	其他手术7操作日期为空，但其他手术编码7不为空或其他手术操作名称7不为空
368	C37x07	date_check	其他手术7操作日期须符合yyyy-MM-dd HH:mm:ss格式
369	C35x08C	cross_check	其他手术操作编码8为空，但其他手术名称8不为空，两者必须同时有值或同时为空
373	C37x08	cross_check	其他手术8操作日期为空，但其他手术编码8不为空或其他手术操作名称8不为空
374	C37x08	date_check	其他手术8操作日期须符合yyyy-MM-dd HH:mm:ss格式
375	C35x09C	cross_check	其他手术操作编码9为空，但其他手术名称9不为空，两者必须同时有值或同时为空
379	C37x09	cross_check	其他手术9操作日期为空，但其他手术编码9不为空或其他手术操作名称9不为空
380	C37x09	date_check	其他手术9操作日期须符合yyyy-MM-dd HH:mm:ss格式
381	C35x10C	cross_check	其他手术操作编码10为空，但其他手术名称10不为空，两者必须同时有值或同时为空
385	C37x10	cross_check	其他手术10操作日期为空，但其他手术编码10不为空或其他手术操作名称10不为空
386	C37x10	date_check	其他手术10操作日期须符合yyyy-MM-dd HH:mm:ss格式
387	C35x11C	cross_check	其他手术操作编码11为空，但其他手术名称11不为空，两者必须同时有值或同时为空
391	C37x11	cross_check	其他手术11操作日期为空，但其他手术编码11不为空或其他手术操作名称11不为空
392	C37x11	date_check	其他手术11操作日期须符合yyyy-MM-dd HH:mm:ss格式
393	C35x12C	cross_check	其他手术操作编码12为空，但其他手术名称12不为空，两者必须同时有值或同时为空
397	C37x12	cross_check	其他手术12操作日期为空，但其他手术编码12不为空或其他手术操作名称12不为空
398	C37x12	date_check	其他手术12操作日期须符合yyyy-MM-dd HH:mm:ss格式
399	C35x13C	cross_check	其他手术操作编码13为空，但其他手术名称13不为空，两者必须同时有值或同时为空
403	C37x13	cross_check	其他手术13操作日期为空，但其他手术编码13不为空或其他手术操作名称13不为空
404	C37x13	date_check	其他手术13操作日期须符合yyyy-MM-dd HH:mm:ss格式
405	C35x14C	cross_check	其他手术操作编码14为空，但其他手术名称14不为空，两者必须同时有值或同时为空
409	C37x14	cross_check	其他手术14操作日期为空，但其他手术编码14不为空或其他手术操作名称14不为空
410	C37x14	date_check	其他手术14操作日期须符合yyyy-MM-dd HH:mm:ss格式
411	C35x15C	cross_check	其他手术操作编码15为空，但其他手术名称15不为空，两者必须同时有值或同时为空
415	C37x15	cross_check	其他手术15操作日期为空，但其他手术编码15不为空或其他手术操作名称15不为空
416	C37x15	date_check	其他手术15操作日期须符合yyyy-MM-dd HH:mm:ss格式
417	C35x16C	cross_check	其他手术操作编码16为空，但其他手术名称16不为空，两者必须同时有值或同时为空
421	C37x16	cross_check	其他手术16操作日期为空，但其他手术编码16不为空或其他手术操作名称16不为空
422	C37x16	date_check	其他手术16操作日期须符合yyyy-MM-dd HH:mm:ss格式
423	C35x17C	cross_check	其他手术操作编码17为空，但其他手术名称17不为空，两者必须同时有值或同时为空
427	C37x17	cross_check	其他手术17操作日期为空，但其他手术编码17不为空或其他手术操作名称17不为空
428	C37x17	date_check	其他手术17操作日期须符合yyyy-MM-dd HH:mm:ss格式
429	C35x18C	cross_check	其他手术操作编码18为空，但其他手术名称18不为空，两者必须同时有值或同时为空
433	C37x18	cross_check	其他手术18操作日期为空，但其他手术编码18不为空或其他手术操作名称18不为空
434	C37x18	date_check	其他手术18操作日期须符合yyyy-MM-dd HH:mm:ss格式
435	C35x19C	cross_check	其他手术操作编码19为空，但其他手术名称19不为空，两者必须同时有值或同时为空
439	C37x19	cross_check	其他手术19操作日期为空，但其他手术编码19不为空或其他手术操作名称19不为空
440	C37x19	date_check	其他手术19操作日期须符合yyyy-MM-dd HH:mm:ss格式
441	C35x20C	cross_check	其他手术操作编码20为空，但其他手术名称20不为空，两者必须同时有值或同时为空
445	C37x20	cross_check	其他手术20操作日期为空，但其他手术编码20不为空或其他手术操作名称20不为空
446	C37x20	date_check	其他手术20操作日期须符合yyyy-MM-dd HH:mm:ss格式
447	C35x21C	cross_check	其他手术操作编码21为空，但其他手术名称21不为空，两者必须同时有值或同时为空
451	C37x21	cross_check	其他手术21操作日期为空，但其他手术编码21不为空或其他手术操作名称21不为空
452	C37x21	date_check	其他手术21操作日期须符合yyyy-MM-dd HH:mm:ss格式
453	C35x22C	cross_check	其他手术操作编码22为空，但其他手术名称22不为空，两者必须同时有值或同时为空
457	C37x22	cross_check	其他手术22操作日期为空，但其他手术编码22不为空或其他手术操作名称22不为空
458	C37x22	date_check	其他手术22操作日期须符合yyyy-MM-dd HH:mm:ss格式
459	C35x23C	cross_check	其他手术操作编码23为空，但其他手术名称23不为空，两者必须同时有值或同时为空
463	C37x23	cross_check	其他手术23操作日期为空，但其他手术编码23不为空或其他手术操作名称23不为空
464	C37x23	date_check	其他手术23操作日期须符合yyyy-MM-dd HH:mm:ss格式
465	C35x24C	cross_check	其他手术操作编码24为空，但其他手术名称24不为空，两者必须同时有值或同时为空
469	C37x24	cross_check	其他手术24操作日期为空，但其他手术编码24不为空或其他手术操作名称24不为空
470	C37x24	date_check	其他手术24操作日期须符合yyyy-MM-dd HH:mm:ss格式
471	C35x25C	cross_check	其他手术操作编码25为空，但其他手术名称25不为空，两者必须同时有值或同时为空
475	C37x25	cross_check	其他手术25操作日期为空，但其他手术编码25不为空或其他手术操作名称25不为空
476	C37x25	date_check	其他手术25操作日期须符合yyyy-MM-dd HH:mm:ss格式
477	C35x26C	cross_check	其他手术操作编码26为空，但其他手术名称26不为空，两者必须同时有值或同时为空
481	C37x26	cross_check	其他手术26操作日期为空，但其他手术编码26不为空或其他手术操作名称26不为空
482	C37x26	date_check	其他手术26操作日期须符合yyyy-MM-dd HH:mm:ss格式
483	C35x27C	cross_check	其他手术操作编码27为空，但其他手术名称27不为空，两者必须同时有值或同时为空
487	C37x27	cross_check	其他手术27操作日期为空，但其他手术编码27不为空或其他手术操作名称27不为空
488	C37x27	date_check	其他手术27操作日期须符合yyyy-MM-dd HH:mm:ss格式
489	C35x28C	cross_check	其他手术操作编码28为空，但其他手术名称28不为空，两者必须同时有值或同时为空
493	C37x28	cross_check	其他手术28操作日期为空，但其他手术编码28不为空或其他手术操作名称28不为空
494	C37x28	date_check	其他手术28操作日期须符合yyyy-MM-dd HH:mm:ss格式
495	C35x29C	cross_check	其他手术操作编码29为空，但其他手术名称29不为空，两者必须同时有值或同时为空
499	C37x29	cross_check	其他手术29操作日期为空，但其他手术编码29不为空或其他手术操作名称29不为空
500	C37x29	date_check	其他手术29操作日期须符合yyyy-MM-dd HH:mm:ss格式
501	C35x30C	cross_check	其他手术操作编码30为空，但其他手术名称30不为空，两者必须同时有值或同时为空
505	C37x30	cross_check	其他手术30操作日期为空，但其他手术编码30不为空或其他手术操作名称30不为空
506	C37x30	date_check	其他手术30操作日期须符合yyyy-MM-dd HH:mm:ss格式
507	C35x31C	cross_check	其他手术操作编码31为空，但其他手术名称31不为空，两者必须同时有值或同时为空
511	C37x31	cross_check	其他手术31操作日期为空，但其他手术编码31不为空或其他手术操作名称31不为空
512	C37x31	date_check	其他手术31操作日期须符合yyyy-MM-dd HH:mm:ss格式
513	C35x32C	cross_check	其他手术操作编码32为空，但其他手术名称32不为空，两者必须同时有值或同时为空
517	C37x32	cross_check	其他手术32操作日期为空，但其他手术编码32不为空或其他手术操作名称32不为空
518	C37x32	date_check	其他手术32操作日期须符合yyyy-MM-dd HH:mm:ss格式
519	C35x33C	cross_check	其他手术操作编码33为空，但其他手术名称33不为空，两者必须同时有值或同时为空
523	C37x33	cross_check	其他手术33操作日期为空，但其他手术编码33不为空或其他手术操作名称33不为空
524	C37x33	date_check	其他手术33操作日期须符合yyyy-MM-dd HH:mm:ss格式
525	C35x34C	cross_check	其他手术操作编码34为空，但其他手术名称34不为空，两者必须同时有值或同时为空
529	C37x34	cross_check	其他手术34操作日期为空，但其他手术编码34不为空或其他手术操作名称34不为空
530	C37x34	date_check	其他手术34操作日期须符合yyyy-MM-dd HH:mm:ss格式
531	C35x35C	cross_check	其他手术操作编码35为空，但其他手术名称35不为空，两者必须同时有值或同时为空
535	C37x35	cross_check	其他手术35操作日期为空，但其他手术编码35不为空或其他手术操作名称35不为空
536	C37x35	date_check	其他手术35操作日期须符合yyyy-MM-dd HH:mm:ss格式
537	C35x36C	cross_check	其他手术操作编码36为空，但其他手术名称36不为空，两者必须同时有值或同时为空
541	C37x36	cross_check	其他手术36操作日期为空，但其他手术编码36不为空或其他手术操作名称36不为空
542	C37x36	date_check	其他手术36操作日期须符合yyyy-MM-dd HH:mm:ss格式
543	C35x37C	cross_check	其他手术操作编码37为空，但其他手术名称37不为空，两者必须同时有值或同时为空
547	C37x37	cross_check	其他手术37操作日期为空，但其他手术编码37不为空或其他手术操作名称37不为空
548	C37x37	date_check	其他手术37操作日期须符合yyyy-MM-dd HH:mm:ss格式
549	C35x38C	cross_check	其他手术操作编码38为空，但其他手术名称38不为空，两者必须同时有值或同时为空
553	C37x38	cross_check	其他手术38操作日期为空，但其他手术编码38不为空或其他手术操作名称38不为空
554	C37x38	date_check	其他手术38操作日期须符合yyyy-MM-dd HH:mm:ss格式
555	C35x39C	cross_check	其他手术操作编码39为空，但其他手术名称39不为空，两者必须同时有值或同时为空
559	C37x39	cross_check	其他手术39操作日期为空，但其他手术编码39不为空或其他手术操作名称39不为空
560	C37x39	date_check	其他手术39操作日期须符合yyyy-MM-dd HH:mm:ss格式
561	C35x40C	cross_check	其他手术操作编码40为空，但其他手术名称40不为空，两者必须同时有值或同时为空
566	C37x40	date_check	其他手术40操作日期须符合yyyy-MM-dd HH:mm:ss格式
588	C27C	value_check	Rh血型不符合国家标准值域定义
1160	D01	cross_check	error20：住院总费用必填且大于0且总费用等于分项费用之和
1275	C06x01C	cross_check	error11：当出院其他诊断编码出现O80-O84编码，且其他诊断编码未出现O00-O08时，其它诊断编码必须有分娩结局编码Z37
1276	C06x01C	cross_check	出院其他诊断编码1不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
1277	C06x02C	cross_check	出院其他诊断编码2不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
1278	C06x03C	cross_check	出院其他诊断编码3不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
1279	C06x04C	cross_check	出院其他诊断编码4不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
1280	C06x05C	cross_check	出院其他诊断编码5不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
1281	C06x06C	cross_check	出院其他诊断编码6不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
1282	C06x07C	cross_check	出院其他诊断编码7不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
1283	C06x08C	cross_check	出院其他诊断编码8不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
1284	C06x09C	cross_check	出院其他诊断编码9不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
1285	C06x10C	cross_check	出院其他诊断编码10不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
1286	C06x11C	cross_check	出院其他诊断编码11不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
1287	C06x12C	cross_check	出院其他诊断编码12不符合逻辑判断，男性不允许编码“A34，B37.3，C51-C58，C79.6，D06，D07.0-D07.3，D24-D28，D39，E28，E89.4，F52.5，F53，I86.3，L29.2，L70.5，M80.0-M80.1，M83.0，N70-N98，N99.2-N99.3，O00-O99，P54.6，Q50-Q52，R87，S31.4，S37.4-S37.6，T19.2-T19.3，T83.3，Z01.4，Z12.4，Z30.1，Z30.3，Z30.5，Z31.1-Z31.2，Z32-Z37，Z39，Z87.5，Z97.5”
